Judete,Laboratoare
Alba,337
Arad,608
Arges,807
Bacau,591
Bihor,793
Bistrita-Nasaud,253
Botosani,278
Brasov,789
Braila,244
Buzau,364
Caras-Severin,280
Calarasi,193
Cluj,2323
Constanta,864
Covasna,174
Dambovita,413
Dolj,1132
Galati,871
Giurgiu,151
Gorj,401
Harghita,247
Hunedoara,445
Ialomita,205
Iasi,2144
Ilfov,200
Maramures,394
Mehedinti,221
Mures,577
Neamt,436
Olt,274
Prahova,738
Satu Mare,273
Salaj,299
Sibiu,658
Suceava,689
Teleorman,219
Timis,1593
Tulcea,246
Vaslui,284
Valcea,324
Vrancea,308
Municipiul Bucuresti,3945
