Judete,PC-uri
Alba,10690
Arad,8984
Arges,18943
Bacau,13957
Bihor,14075
Bistrita-Nasaud,5493
Botosani,15719
Brasov,15479
Braila,10911
Buzau,9996
Caras-Severin,6368
Calarasi,9990
Cluj,55097
Constanta,16693
Covasna,3992
Dambovita,15957
Dolj,14518
Galati,16157
Giurgiu,6901
Gorj,9235
Harghita,7521
Hunedoara,10053
Ialomita,5520
Iasi,23917
Ilfov,20252
Maramures,14416
Mehedinti,8893
Mures,25168
Neamt,9804
Olt,6224
Prahova,13533
Satu Mare,6938
Salaj,9705
Sibiu,13322
Suceava,32490
Teleorman,11206
Timis,23290
Tulcea,5347
Vaslui,13428
Valcea,7372
Vrancea,5877
Municipiul Bucuresti,126712
