Judete,Personal didactic
Alba,3876
Arad,4901
Arges,6664
Bacau,6746
Bihor,8167
Bistrita-Nasaud,3492
Botosani,4594
Brasov,6859
Braila,3020
Buzau,4274
Caras-Severin,3141
Calarasi,2625
Cluj,11940
Constanta,8144
Covasna,2811
Dambovita,4892
Dolj,7877
Galati,6058
Giurgiu,2404
Gorj,3841
Harghita,4373
Hunedoara,3875
Ialomita,2274
Iasi,11738
Ilfov,3385
Maramures,5271
Mehedinti,2703
Mures,7539
Neamt,4629
Olt,4026
Prahova,7053
Satu Mare,3838
Salaj,2643
Sibiu,5536
Suceava,8151
Teleorman,3250
Timis,9952
Tulcea,2002
Vaslui,4429
Valcea,4097
Vrancea,3521
Municipiul Bucuresti,27243
