Judete,Populatia scolara
Alba,54979
Arad,69906
Arges,98010
Bacau,98081
Bihor,107558
Bistrita-Nasaud,48844
Botosani,61954
Brasov,111360
Braila,42050
Buzau,60878
Caras-Severin,36933
Calarasi,39140
Cluj,176199
Constanta,131957
Covasna,32638
Dambovita,72002
Dolj,113540
Galati,90450
Giurgiu,34767
Gorj,52046
Harghita,51487
Hunedoara,57164
Ialomita,35523
Iasi,185515
Ilfov,57102
Maramures,74998
Mehedinti,37144
Mures,96387
Neamt,69322
Olt,57369
Prahova,108350
Satu Mare,52599
Salaj,35848
Sibiu,80575
Suceava,124289
Teleorman,41459
Timis,143568
Tulcea,28290
Vaslui,59217
Valcea,49616
Vrancea,49547
Municipiul Bucuresti,467130
