Judete,Sali de clasa
Alba,2738
Arad,3424
Arges,4323
Bacau,4652
Bihor,5035
Bistrita-Nasaud,2579
Botosani,3144
Brasov,3904
Braila,2070
Buzau,2779
Caras-Severin,2276
Calarasi,1766
Cluj,6304
Constanta,4231
Covasna,1880
Dambovita,3219
Dolj,4410
Galati,3141
Giurgiu,1460
Gorj,2444
Harghita,3033
Hunedoara,2872
Ialomita,1632
Iasi,6465
Ilfov,2018
Maramures,3703
Mehedinti,1823
Mures,4709
Neamt,3475
Olt,2603
Prahova,4229
Satu Mare,2788
Salaj,2094
Sibiu,3547
Suceava,5406
Teleorman,1977
Timis,5782
Tulcea,1277
Vaslui,2964
Valcea,2569
Vrancea,2139
Municipiul Bucuresti,12693
