Judete,Unitati de invatamant
Alba,140
Arad,158
Arges,215
Bacau,185
Bihor,206
Bistrita-Nasaud,115
Botosani,131
Brasov,191
Braila,101
Buzau,148
Caras-Severin,120
Calarasi,97
Cluj,277
Constanta,227
Covasna,79
Dambovita,153
Dolj,216
Galati,188
Giurgiu,86
Gorj,116
Harghita,130
Hunedoara,111
Ialomita,92
Iasi,262
Ilfov,136
Maramures,183
Mehedinti,105
Mures,189
Neamt,143
Olt,162
Prahova,235
Satu Mare,130
Salaj,110
Sibiu,173
Suceava,223
Teleorman,139
Timis,240
Tulcea,80
Vaslui,149
Valcea,130
Vrancea,121
Municipiul Bucuresti,623
