,Sali de clasa,Ateliere,Laboratoare,PC-uri,Sali de gimnastica,Terenuri de sport,Personal didactic,Populatia scolara,Unitati de invatamant
Alba,-0.37625337269536385,-0.27559030965337167,-0.42088826972842164,-0.28373234059455393,-0.03527235542832206,-0.5219980203220806,-0.43033817073814756,-0.39845849087463175,-0.30952555729616077
Arad,-0.021764893767309765,0.02749030520233123,-0.03551699742137514,-0.3716788963507995,0.3744873480581422,0.4883946364242441,-0.18352809040086301,-0.18794794962359096,-0.10335699226012765
Arges,0.4427907076267436,0.648083945144961,0.24746781139450033,0.14172072192378965,0.8157670287358729,1.338407506385438,0.24098524777926641,0.20839346200093176,0.5495101303539772
Bacau,0.6128004883371369,-0.03023933572256456,-0.05969157907901274,-0.11531417080812131,0.10656754193237711,0.7931162313159928,0.2607300542062492,0.209394751505107,0.20589585529392201
Bihor,0.8107146099544033,0.09965235635845097,0.22755933238232817,-0.10923111478277726,0.5636072112057411,1.001609954136663,0.6028931021665237,0.343045746308893,0.4464258478359606
Bistrita-Nasaud,-0.45841615425449006,-0.5209412835841788,-0.5403391438014545,-0.5516445623209361,-0.42927207031915304,-0.40973216957248904,-0.5228016544937741,-0.48497836563681673,-0.5958707865128734
Botosani,-0.1664540688399849,-0.33331995057826747,-0.5047882884225756,-0.024480741005949817,-0.9020717281881503,-0.3616182335369498,-0.25745071934090824,-0.3000923740912185,-0.4126098398141773
Brasov,0.2262736920715619,0.3161385098268102,0.22187119552170756,-0.036853058345632655,0.5478472226101079,-0.16916248939479267,0.28793936062392056,0.39666409412402376,0.27461871030593304
Braila,-0.7214404046544602,-0.26115789942214773,-0.5531374517378509,-0.272339498377596,-0.8547917624012505,-0.746529721821264,-0.6364546866100652,-0.5807918993180368,-0.7562241148742325
Buzau,-0.35506674348829353,-0.8384543086711057,-0.3824933459192325,-0.3195089582351368,-0.41351208172351983,-0.5380359990005937,-0.33450362247059706,-0.31526684601364896,-0.2178950839468127
Caras-Severin,-0.6149905115652778,-0.23229307895969983,-0.5019442199922654,-0.5065371553533424,-0.9178317167837835,-0.9710614233204473,-0.6073190576141516,-0.6529552569640189,-0.5386017406695309
Calarasi,-0.878531509019079,-0.7807246677462099,-0.6256611967107637,-0.3198182661686289,-0.9178317167837835,-0.7144537644642378,-0.7315668639107749,-0.6218306663201489,-0.8020393515489065
Cluj,1.46646662126592,1.788244353411653,2.4032716815697124,2.0055072265025116,1.7613663444738674,1.2742555916713856,1.511394988130011,1.3110670541411895,1.2596462988114245
Constanta,0.39524997867429323,0.12851717682089886,0.32852376165834407,0.025730246864263034,0.31144739367560925,1.5789771865631343,0.5973549247540773,0.6871367690183553,0.6869558403779993
Covasna,-0.819622344882347,-0.1312662073411322,-0.6526798467987116,-0.6290230970162025,-0.3347121387453536,-1.115403231427065,-0.6867798639666433,-0.7135262206320848,-1.0082079165849396
Dambovita,-0.1276980398026612,-0.39104959150316326,-0.31281366937663,-0.012211526310764336,-0.051032344023955296,0.007255276068851334,-0.18569520330138553,-0.15838875524681187,-0.16062603810347018
Dolj,0.4877477013100391,0.8212728679196484,0.7096289313199251,-0.08639387902661269,1.3043266752005034,1.2261416556358462,0.5330639087052432,0.42740791270292566,0.5609639395226457
Galati,-0.16800431000147784,-0.1601310278035801,0.3384780011644301,-0.001901261861028638,0.12232753052801035,0.31197687096060006,0.09506631247741819,0.10177728380987738,0.24025728279992753
Giurgiu,-1.0366561074913596,-1.2281293849141524,-0.6853866337472801,-0.47906030059479676,-0.8863117395925171,-0.7946436578568032,-0.7847815251347162,-0.6835016381759004,-0.9280312524042601
Gorj,-0.5281770065216728,-0.20342825849725193,-0.32987807995849183,-0.35873951446638114,-0.5080720132973193,-0.15312451071627958,-0.4387658320179573,-0.4398216192654204,-0.584416977344205
